"14078","30700","Guest","Trio Mocotó","Jorge Ben","Fôrça Bruta"
"260882","30700","Producer","Manoel Barenbein","Jorge Ben","Fôrça Bruta"
"3046830","78","Art Direction","José Paulo (2)","Azymuth","Águia Não Come Mosca"
"2546461","78","Artwork [Illustration]","Antonio Peticov","Azymuth","Águia Não Come Mosca"
"962893","78","Bass, Guitar, Vocals","Alexandre Malheiros","Azymuth","Águia Não Come Mosca"
"3351778","78","Cuica","Neném Da Cuica","Azymuth","Águia Não Come Mosca"
"300989","78","Drums, Percussion, Vocals","Ivan Conti","Azymuth","Águia Não Come Mosca"
"176998","78","Engineer","Humberto Gatica","Azymuth","Águia Não Come Mosca"
"704174","78","Engineer [Recording]","Andy Mills","Azymuth","Águia Não Come Mosca"
"917895","78","Ganzá, Triangle, Tamborim","Ariovaldo Contesini","Azymuth","Águia Não Come Mosca"
"550629","78","Keyboards, Vocals","José Roberto Bertrami","Azymuth","Águia Não Come Mosca"
"333237","78","Pandeiro","Jorginho","Azymuth","Águia Não Come Mosca"
"3931435","78","Photography By","Gil Prates","Azymuth","Águia Não Come Mosca"
"318931","78","Producer","Guti","Azymuth","Águia Não Come Mosca"
"533965","78","Repinique [De Mão]","Doutor","Azymuth","Águia Não Come Mosca"
"182168","78","Soprano Saxophone","Paulo Moura","Azymuth","Águia Não Come Mosca"
"3300768","78","Vocals","Angela Herz","Azymuth","Águia Não Come Mosca"
"245813","78","Vocals","Marcio Lott","Azymuth","Águia Não Come Mosca"
"1423135","78","Vocals","Paraná","Azymuth","Águia Não Come Mosca"
"401260","393641","Producer","Antonio Fernandes","Banda Reflexu's","Serpente Negra"
"253042","380009","Banjo, Strings [Violita], Violin, Percussion","Tom Capone","Maria Rita","Maria Rita"
"380023","380009","Bass [Acoustic]","Fábio Sá","Maria Rita","Maria Rita"
"380008","380009","Drums, Percussion, Co-producer","Marco da Costa","Maria Rita","Maria Rita"
"380007","380009","Piano, Accordion, Electric Piano [Fender Rhodes], Organ","Tiago Costa","Maria Rita","Maria Rita"
"253042","380009","Producer","Tom Capone","Maria Rita","Maria Rita"
"702210","380009","Written-By","Marcelo Camelo","Maria Rita","Maria Rita"
"392241","23475","Backing Vocals","Beth Bruno","Djavan","Ao Vivo Volume 1"
"392238","23475","Backing Vocals","Cecília Spyer","Djavan","Ao Vivo Volume 1"
"392243","23475","Backing Vocals","Flávia Virgínia","Djavan","Ao Vivo Volume 1"
"392246","23475","Bass, Vocals","André Vasconcelos","Djavan","Ao Vivo Volume 1"
"392247","23475","Drums","Carlos Bala","Djavan","Ao Vivo Volume 1"
"392240","23475","Guitar, Vocals","João Castilho","Djavan","Ao Vivo Volume 1"
"392245","23475","Guitar, Vocals","Max Viana","Djavan","Ao Vivo Volume 1"
"392242","23475","Keyboards","Paulo Calasans","Djavan","Ao Vivo Volume 1"
"392239","23475","Saxophone, Flute, Vocals","Marcelo Martins","Djavan","Ao Vivo Volume 1"
"392237","23475","Trombone, Vocals","François De Lima","Djavan","Ao Vivo Volume 1"
"707158","23475","Trumpet, Flugelhorn, Vocals","Walmir De Almeida Gil","Djavan","Ao Vivo Volume 1"
"392241","23475","Backing Vocals","Beth Bruno","Djavan","Ao Vivo Volume 2"
"392238","23475","Backing Vocals","Cecília Spyer","Djavan","Ao Vivo Volume 2"
"392243","23475","Backing Vocals","Flávia Virgínia","Djavan","Ao Vivo Volume 2"
"392246","23475","Bass, Vocals","André Vasconcelos","Djavan","Ao Vivo Volume 2"
"392247","23475","Drums","Carlos Bala","Djavan","Ao Vivo Volume 2"
"392240","23475","Guitar, Vocals","João Castilho","Djavan","Ao Vivo Volume 2"
"392245","23475","Guitar, Vocals","Max Viana","Djavan","Ao Vivo Volume 2"
"392242","23475","Keyboards","Paulo Calasans","Djavan","Ao Vivo Volume 2"
"392239","23475","Saxophone, Flute, Vocals","Marcelo Martins","Djavan","Ao Vivo Volume 2"
"392237","23475","Trombone, Vocals","François De Lima","Djavan","Ao Vivo Volume 2"
"707158","23475","Trumpet, Flugelhorn, Vocals","Walmir De Almeida Gil","Djavan","Ao Vivo Volume 2"
"799180","78","Acoustic Guitar","João América","Azymuth","Azimüth"
"2338612","78","Artwork, Layout","Flavio D'Alincourt","Azymuth","Azimüth"
"300988","78","Bass [Rickenbacker, Vox & Eco], Acoustic Guitar, Guitar, Shaker, Vocals","Alex Malheiros","Azymuth","Azimüth"
"550629","78","Bells, Clavinet, Electric Piano [Fender], Organ [Hammond M.102], Piano, Synthesizer [Arp 2600, Moog Satellite, Arp Strings], Vocals","José Roberto Bertrami","Azymuth","Azimüth"
"917895","78","Bongos, Congas, Cuica, Shaker, Surdo, Tamborim, Vocals","Ariovaldo Contesini","Azymuth","Azimüth"
"300989","78","Drums [Rogers & Ludwig], Shaker, Timbales, Timpani","Ivan Conti","Azymuth","Azimüth"
"3946335","78","Engineer [Assistant]","Borrachinha","Azymuth","Azimüth"
"484898","78","Engineer [Assistant]","Jairo Gualberto","Azymuth","Azimüth"
"799177","78","Engineer [Assistant]","Zé Guilherme","Azymuth","Azimüth"
"533970","78","Engineer [Sound]","Ary Carvalhaes","Azymuth","Azimüth"
"533969","78","Engineer [Sound]","Luigi Hoffer","Azymuth","Azimüth"
"2073132","78","Engineer [Sound]","Luis Cláudio Coutinho","Azymuth","Azimüth"
"799180","78","Percussion, Vocals","João América","Azymuth","Azimüth"
"245813","78","Vocals","Marcio Lott","Azymuth","Azimüth"
"317196","23475","Alto Saxophone","Mauro Senise","Djavan","Djavan"
"182168","23475","Alto Saxophone","Paulo Moura","Djavan","Djavan"
"1763310","23475","Arranged By","Luiz Avellar","Djavan","Djavan"
"253248","23475","Arranged By [Cello], Cello","Jaques Morelenbaum","Djavan","Djavan"
"2759422","23475","Artwork","Julio Lapenne","Djavan","Djavan"
"226429","23475","Bass","Arthur Maia","Djavan","Djavan"
"1731688","23475","Bass","João Baptista","Djavan","Djavan"
"447677","23475","Bass","Luizão Maia","Djavan","Djavan"
"1897028","23475","Bass","Sizão Machado","Djavan","Djavan"
"2273338","23475","Drums","Cláudio Infante","Djavan","Djavan"
"533961","23475","Drums","Paulinho Braga","Djavan","Djavan"
"1329923","23475","Drums","Teo Lima","Djavan","Djavan"
"752754","23475","Engineer","Eduardo Costa","Djavan","Djavan"
"269449","23475","Flute","José Carlos","Djavan","Djavan"
"101207","23475","Guitar, Acoustic Guitar","Celso Fonseca","Djavan","Djavan"
"229176","23475","Keyboards","Larry Williams","Djavan","Djavan"
"1763310","23475","Keyboards","Luiz Avellar","Djavan","Djavan"
"392242","23475","Keyboards","Paulo Calasans","Djavan","Djavan"
"326464","23475","Percussion","Armando Marçal","Djavan","Djavan"
"1019832","23475","Percussion","Geraldo Bongô","Djavan","Djavan"
"2759424","23475","Photography By","Claus Meyer","Djavan","Djavan"
"1763310","23475","Piano","Luiz Avellar","Djavan","Djavan"
"333235","23475","Producer","Mazzola","Djavan","Djavan"
"1978532","23475","Recorded By","Antonio Foguete","Djavan","Djavan"
"1763310","23475","Strings","Luiz Avellar","Djavan","Djavan"
