"Celso Fonseca", "Arco-Iris"
"Celso Fonseca", "Taiguara"
"Celso Fonseca", "Taiguara"
"Celso Fonseca", "Taiguara"
"Celso Fonseca", "Silvio Cesar"
"Celso Fonseca", "Dom Mita"
"Celso Fonseca", "João Donato & Seu Trio"
"Celso Fonseca", "Garoto"
"Celso Fonseca", "Ithamara Koorax"
"Celso Fonseca", "Milton Nascimento"
"Celso Fonseca", "Milton Nascimento"
"Celso Fonseca", "Milton Nascimento"
"Celso Fonseca", "Milton Nascimento"
"Celso Fonseca", "Milton Nascimento"
"Celso Fonseca", "Milton Nascimento"
"Celso Fonseca", "Milton Nascimento"
"Celso Fonseca", "Milton Nascimento"
"Celso Fonseca", "Gilberto Gil"
"Celso Fonseca", "Gilberto Gil"
"Celso Fonseca", "Gilberto Gil"
"Celso Fonseca", "Gilberto Gil"
"Celso Fonseca", "Meirelles E Os Copa 5"
"Celso Fonseca", "Alaide Costa"
"Celso Fonseca", "Alaide Costa"
"Celso Fonseca", "Caetano Veloso"
"Celso Fonseca", "Caetano Veloso"
"Celso Fonseca", "Caetano Veloso"
"Celso Fonseca", "Caetano Veloso"
"Celso Fonseca", "Caetano Veloso"
"Celso Fonseca", "Caetano Veloso"
"Celso Fonseca", "Caetano Veloso"
"Celso Fonseca", "Caetano Veloso"
"Celso Fonseca", "Ney Matogrosso"
"Celso Fonseca", "Ney Matogrosso"
"Celso Fonseca", "Gal Costa"
"Celso Fonseca", "Gal Costa"
"Celso Fonseca", "Gal Costa"
"Celso Fonseca", "Gal Costa"
"Celso Fonseca", "Ivan Lins"
"Celso Fonseca", "Ivan Lins"
"Celso Fonseca", "Ivan Lins"
"Celso Fonseca", "Ivan Lins"
"Celso Fonseca", "Ivan Lins"
"Celso Fonseca", "Orquestra Imperial"
"Celso Fonseca", "Orquestra Imperial"
"Celso Fonseca", "Fabio Fonseca Trio"
"Celso Fonseca", "Vinicius Cantuária"
"Celso Fonseca", "Vinicius Cantuária"
"Celso Fonseca", "Vinicius Cantuária"
"Celso Fonseca", "Andy Summers"
"Celso Fonseca", "A Cor Do Som"
"Celso Fonseca", "Quarteto Jobim-Morelenbaum"
"Gordurinha", "Hermeto Pascoal"
"Gordurinha", "Cassiano"
"Gordurinha", "Bossa Jazz Trio"
"Gordurinha", "Caetano Veloso"
"João Ricardo (2)", "Ednardo"
"João Ricardo (2)", "Trio Mocotó"
"João Ricardo (2)", "Kleiton & Kledir"
"João Ricardo (2)", "Angélica"
"João Ricardo (2)", "Simone (3)"
"João Ricardo (2)", "Octavio Burnier"
"João Ricardo (2)", "Waldir Calmon"
"João Ricardo (2)", "Marina Lima"
"João Ricardo (2)", "Wilson Simonal"
"João Ricardo (2)", "Morgana (11)"
"João Ricardo (2)", "Odair José"
"João Ricardo (2)", "Odair José"
"João Ricardo (2)", "Portinho E Sua Orquestra"
"João Ricardo (2)", "Tetê Espíndola"
"João Ricardo (2)", "Tetê Espíndola"
"João Ricardo (2)", "Djavan"
"João Ricardo (2)", "Djavan"
"João Ricardo (2)", "Toquinho"
"João Ricardo (2)", "Emilio Santiago"
"João Ricardo (2)", "Emilio Santiago"
"João Ricardo (2)", "Cidinho E O Som Tropical"
"João Ricardo (2)", "Rita Lee"
"João Ricardo (2)", "Sérgio Mendes"
"João Ricardo (2)", "Jorge Ben"
"João Ricardo (2)", "Jorge Ben"
"João Ricardo (2)", "Elis Regina"
"João Ricardo (2)", "Elis Regina"
"João Ricardo (2)", "Elis Regina"
"João Ricardo (2)", "Chico Buarque"
"João Ricardo (2)", "Zimbo Trio"
"João Ricardo (2)", "MPB4"
"João Ricardo (2)", "Elizeth Cardoso"
"João Ricardo (2)", "Wagner Tiso"
"João Ricardo (2)", "Alcione"
"João Ricardo (2)", "Walter Wanderley"
"João Ricardo (2)", "Benito Di Paula"
"João Ricardo (2)", "Moacyr Peixoto"
"João Ricardo (2)", "Wanderléa"
"João Ricardo (2)", "Wanderléa"
"João Ricardo (2)", "Raul Seixas"
"João Ricardo (2)", "Raul Seixas"
"João Ricardo (2)", "Nonato Y Su Conjunto"
"João Ricardo (2)", "Evaldo Braga"
"João Ricardo (2)", "Evaldo Braga"
"João Ricardo (2)", "Fafá De Belém"
"João Ricardo (2)", "João Donato"
"João Ricardo (2)", "João Donato"
"João Ricardo (2)", "Maria Bethânia"
"João Ricardo (2)", "Maria Bethânia"
"João Ricardo (2)", "Banda Black Rio"
"João Ricardo (2)", "Banda Black Rio"
"João Ricardo (2)", "Elba Ramalho"
"João Ricardo (2)", "Alceu Valença"
"João Ricardo (2)", "Lady Zu"
"João Ricardo (2)", "Jair Rodrigues"
"João Ricardo (2)", "Marilia Medalha"
"João Ricardo (2)", "Biafra"
"João Ricardo (2)", "Secos & Molhados"
"João Ricardo (2)", "Secos & Molhados"
"João Ricardo (2)", "Secos & Molhados"
"João Ricardo (2)", "Secos & Molhados"
"João Ricardo (2)", "Jorge Mautner"
"João Ricardo (2)", "Antonio Carlos Belchior"
"João Ricardo (2)", "Altamiro Carrilho"
"João Ricardo (2)", "Altamiro Carrilho"
"João Ricardo (2)", "Sarah Vaughan"
"João Ricardo (2)", "Os Caretas"
"João Ricardo (2)", "Os Caretas"
"João Ricardo (2)", "Milton Nascimento"
"João Ricardo (2)", "Milton Nascimento"
"João Ricardo (2)", "Gilberto Gil"
"João Ricardo (2)", "Gilberto Gil"
"João Ricardo (2)", "Caetano Veloso"
"João Ricardo (2)", "Caetano Veloso"
"João Ricardo (2)", "Margareth Menezes"
"João Ricardo (2)", "Ney Matogrosso"
"João Ricardo (2)", "Gal Costa"
"João Ricardo (2)", "Gal Costa"
"João Ricardo (2)", "Brazilian Octopus"
"João Ricardo (2)", "Maysa Matarazzo"
"João Ricardo (2)", "Paulinho Nogueira"
"Arto Lindsay", "Marisa Monte"
"Arto Lindsay", "Carlinhos Brown"
"Arto Lindsay", "Tom Zé"
"Arto Lindsay", "Adriana Calcanhotto"
"Arto Lindsay", "Adriana Calcanhotto"
"Arto Lindsay", "Marcelo Jeneci"
"Arto Lindsay", "Caetano Veloso"
"Arto Lindsay", "Gal Costa"
"Arto Lindsay", "Orquestra Imperial"
"Conjunto Nosso Samba", "Celso Fonseca"
"Conjunto Nosso Samba", "Os Abelhudos"
"Conjunto Nosso Samba", "Dori Caymmi (2)"
"Conjunto Nosso Samba", "Dori Caymmi (2)"
"Conjunto Nosso Samba", "Clementina De Jesus"
"Conjunto Nosso Samba", "Clementina De Jesus"
"Conjunto Nosso Samba", "Orlann Divo"
"Conjunto Nosso Samba", "Simone (3)"
"Conjunto Nosso Samba", "Simone (3)"
"Conjunto Nosso Samba", "Dalto"
"Conjunto Nosso Samba", "Morgana (11)"
"Conjunto Nosso Samba", "Os Tincoãs"
"Conjunto Nosso Samba", "Ivon Curi"
"Conjunto Nosso Samba", "Ivon Curi"
"Conjunto Nosso Samba", "Joel Teixeira"
"Conjunto Nosso Samba", "José Ribamar da Silva"
"Conjunto Nosso Samba", "Sérgio Mendes"
"Conjunto Nosso Samba", "Elis Regina"
"Conjunto Nosso Samba", "Elis Regina"
"Conjunto Nosso Samba", "Elis Regina"
"Conjunto Nosso Samba", "Miucha"
"Conjunto Nosso Samba", "Márcia"
"Conjunto Nosso Samba", "Márcia"
"Conjunto Nosso Samba", "Dóris Monteiro"
"Conjunto Nosso Samba", "Dóris Monteiro"
"Conjunto Nosso Samba", "Dóris Monteiro"
"Conjunto Nosso Samba", "Paula Morelenbaum"
"Conjunto Nosso Samba", "Clara Nunes"
"Conjunto Nosso Samba", "Clara Nunes"
"Conjunto Nosso Samba", "Burnier & Cartier"
"Conjunto Nosso Samba", "Burnier & Cartier"
"Conjunto Nosso Samba", "Nelson Angelo"
"Conjunto Nosso Samba", "Nelson Angelo"
"Conjunto Nosso Samba", "Nelson Angelo"
"Conjunto Nosso Samba", "Meireles E Sua Orquestra"
"Conjunto Nosso Samba", "Elizabeth (23)"
"Conjunto Nosso Samba", "Elizabeth (23)"
"Conjunto Nosso Samba", "Gonzaguinha"
"Conjunto Nosso Samba", "Gonzaguinha"
"Conjunto Nosso Samba", "Jadir De Castro"
"Conjunto Nosso Samba", "Adoniran Barbosa"
"Conjunto Nosso Samba", "Cassiano"
"Conjunto Nosso Samba", "Cassiano"
"Conjunto Nosso Samba", "Dorival Caymmi"
"Conjunto Nosso Samba", "Paulo Diniz"
"Conjunto Nosso Samba", "Paulo Diniz"
"Conjunto Nosso Samba", "Paulo Diniz"
"Conjunto Nosso Samba", "João Donato"
"Conjunto Nosso Samba", "João Donato"
"Conjunto Nosso Samba", "João Donato"
"Conjunto Nosso Samba", "Dunga (5)"
"Conjunto Nosso Samba", "João Bosco"
"Conjunto Nosso Samba", "Wilson Moreira"
"Conjunto Nosso Samba", "Wilson Moreira"
"Conjunto Nosso Samba", "Jair Rodrigues"
"Conjunto Nosso Samba", "Eliana Pittman"
"Conjunto Nosso Samba", "Baden Powell"
"Conjunto Nosso Samba", "João De Aquino"
"Conjunto Nosso Samba", "Taiguara"
"Conjunto Nosso Samba", "Taiguara"
"Conjunto Nosso Samba", "Silvio Cesar"
"Conjunto Nosso Samba", "João Donato & Seu Trio"
"Conjunto Nosso Samba", "Altamiro Carrilho"
"Conjunto Nosso Samba", "Os Caretas"
"Conjunto Nosso Samba", "Milton Nascimento"
"Conjunto Nosso Samba", "Milton Nascimento"
"Conjunto Nosso Samba", "Alaide Costa"
"Conjunto Nosso Samba", "Alaide Costa"
"Conjunto Nosso Samba", "Johnny Alf"
"Conjunto Nosso Samba", "Gal Costa"
"Conjunto Nosso Samba", "Gal Costa"
"Conjunto Nosso Samba", "João Nogueira"
"Conjunto Nosso Samba", "João Nogueira"
"Conjunto Nosso Samba", "João Nogueira"
"Conjunto Nosso Samba", "Arnaud Rodrigues"
"Jamelão", "Agnaldo Timóteo"
"Jamelão", "Ed Lincoln"
"Jamelão", "Primo Trio"
"Jamelão", "Molejo"
"Jamelão", "Ederaldo Gentil"
"Jamelão", "Mário Castro Neves & Samba S.A."
"Jamelão", "Almir Sater"
"Jamelão", "Trio Irakitan"
"Jamelão", "Moto Perpétuo"
"Jamelão", "Morgana (11)"
"Jamelão", "Claudete Macêdo"
"Jamelão", "Grupo Chapéu De Palha"
"Jamelão", "Jorge Ben"
"Jamelão", "Jovem Braza"
"Jamelão", "Clara Nunes"
"Jamelão", "Grupo Sambario"
"Jamelão", "Jadir De Castro"
"Jamelão", "Moacyr Peixoto"
"Jamelão", "Hyldon"
"Jamelão", "Secos & Molhados"
"Jamelão", "Dom Mita"
"Jamelão", "Nonato Buzar"
"Jamelão", "Elza Soares"
"Jamelão", "Eumir Deodato"
"Jamelão", "G.R.E.S. Império Serrano"
"Jamelão", "Zé Bodega"
"Jamelão", "Zé Bodega"
"Jamelão", "Zé Bodega"
"Mussum", "Paulo Tito"
"Mussum", "Milton Banana"
"Mussum", "Claudette Soares"
"Mussum", "Fernando Lona"
"Mussum", "Os Catedráticos"
"Mussum", "Pirí"
"Mussum", "Jorginho Do Império"
"Mussum", "Emilio Santiago"
"Mussum", "Abílio Manoel"
"Mussum", "Elis Regina"
"Mussum", "Chico Buarque"
"Mussum", "Miucha"
"Mussum", "Márcia"
"Mussum", "Márcia"
"Mussum", "Elizeth Cardoso"
"Mussum", "Dóris Monteiro"
"Mussum", "Elizabeth (23)"
